,id,agent_serial,device_type,reading,average,samples,unit,time_of_reading,time_of_create
28479,4218910,dca63282ba98,microphone,822,334.12,59,dB,2023-10-03 11:00:01,2023-10-03 11:00:09
28483,4218914,dca63282b98f,microphone,977,282.1,60,dB,2023-10-03 11:00:01,2023-10-03 11:00:10
28485,4218916,dca63282b8d2,microphone,760,357.07,61,dB,2023-10-03 11:00:02,2023-10-03 11:00:11
28486,4218917,dca63282b9da,microphone,1259,281.98,60,dB,2023-10-03 11:00:02,2023-10-03 11:00:11
28493,4218924,dca63282b9da,microphone,536,277.14,59,dB,2023-10-03 11:01:01,2023-10-03 11:01:10
28494,4218925,dca63282b98f,microphone,401,264.2,60,dB,2023-10-03 11:01:01,2023-10-03 11:01:10
28495,4218926,dca63282ba98,microphone,540,313.46,61,dB,2023-10-03 11:01:02,2023-10-03 11:01:10
28496,4218927,dca63282b8d2,microphone,698,334.67,60,dB,2023-10-03 11:01:02,2023-10-03 11:01:10
28498,4218929,dca63282b98f,microphone,422,224.28,61,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28500,4218931,dca63282b9da,microphone,603,233.83,60,dB,2023-10-03 11:02:01,2023-10-03 11:02:10
28502,4218933,dca63282ba98,microphone,467,223.78,59,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28505,4218936,dca63282b8d2,microphone,686,221.98,59,dB,2023-10-03 11:02:02,2023-10-03 11:02:10
28510,4218941,dca63282b9da,microphone,392,237.83,60,dB,2023-10-03 11:03:01,2023-10-03 11:03:10
28511,4218942,dca63282b98f,microphone,379,226.05,60,dB,2023-10-03 11:03:02,2023-10-03 11:03:10
28513,4218944,dca63282ba98,microphone,528,242.34,61,dB,2023-10-03 11:03:02,2023-10-03 11:03:11
28514,4218945,dca63282b8d2,microphone,603,257.21,61,dB,2023-10-03 11:03:02,2023-10-03 11:03:11
28518,4218949,dca63282b8d2,microphone,632,333.97,59,dB,2023-10-03 11:04:01,2023-10-03 11:04:10
28520,4218951,dca63282b9da,microphone,1214,284.7,60,dB,2023-10-03 11:04:02,2023-10-03 11:04:10
28521,4218952,dca63282b98f,microphone,528,257.73,59,dB,2023-10-03 11:04:02,2023-10-03 11:04:10
28523,4218954,dca63282ba98,microphone,567,309.4,60,dB,2023-10-03 11:04:02,2023-10-03 11:04:11
28528,4218959,dca63282ba98,microphone,724,285.53,59,dB,2023-10-03 11:05:01,2023-10-03 11:05:10
28529,4218960,dca63282b98f,microphone,1270,265.35,60,dB,2023-10-03 11:05:02,2023-10-03 11:05:10
28530,4218961,dca63282b9da,microphone,1513,275.25,60,dB,2023-10-03 11:05:02,2023-10-03 11:05:10
28531,4218962,dca63282b8d2,microphone,710,291.43,60,dB,2023-10-03 11:05:01,2023-10-03 11:05:11
28535,4218966,dca63282b8d2,microphone,528,274.85,60,dB,2023-10-03 11:06:01,2023-10-03 11:06:10
28537,4218968,dca63282b98f,microphone,1240,268.37,60,dB,2023-10-03 11:06:02,2023-10-03 11:06:10
28538,4218969,dca63282b9da,microphone,1633,286.68,60,dB,2023-10-03 11:06:02,2023-10-03 11:06:11
28541,4218972,dca63282ba98,microphone,642,263.33,61,dB,2023-10-03 11:06:02,2023-10-03 11:06:11
28542,4218973,dca63282b98f,microphone,553,246.72,60,dB,2023-10-03 11:07:02,2023-10-03 11:07:10
28544,4218975,dca63282b8d2,microphone,509,263.0,59,dB,2023-10-03 11:07:01,2023-10-03 11:07:10
28546,4218977,dca63282ba98,microphone,467,256.0,59,dB,2023-10-03 11:07:01,2023-10-03 11:07:10
28549,4218980,dca63282b9da,microphone,649,268.61,61,dB,2023-10-03 11:07:02,2023-10-03 11:07:11
28554,4218985,dca63282b98f,microphone,352,213.8,61,dB,2023-10-03 11:08:02,2023-10-03 11:08:10
28556,4218987,dca63282ba98,microphone,490,218.47,60,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28557,4218988,dca63282b8d2,microphone,485,214.62,61,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28559,4218990,dca63282b9da,microphone,366,215.97,60,dB,2023-10-03 11:08:02,2023-10-03 11:08:11
28564,4218995,dca63282b98f,microphone,349,239.15,59,dB,2023-10-03 11:09:02,2023-10-03 11:09:10
28566,4218997,dca63282b9da,microphone,461,247.34,59,dB,2023-10-03 11:09:01,2023-10-03 11:09:11
28567,4218998,dca63282b8d2,microphone,525,296.47,60,dB,2023-10-03 11:09:02,2023-10-03 11:09:12
28568,4218999,dca63282ba98,microphone,538,284.68,60,dB,2023-10-03 11:09:02,2023-10-03 11:09:14
28571,4219002,dca63282ba98,microphone,720,293.27,60,dB,2023-10-03 11:10:01,2023-10-03 11:10:10
28575,4219006,dca63282b98f,microphone,963,252.03,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28576,4219007,dca63282b9da,microphone,1516,283.4,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28577,4219008,dca63282b8d2,microphone,586,283.6,60,dB,2023-10-03 11:10:02,2023-10-03 11:10:11
28582,4219013,dca63282b8d2,microphone,595,260.1,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:10
28584,4219015,dca63282ba98,microphone,517,256.92,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:10
28585,4219016,dca63282b9da,microphone,395,242.43,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:11
28586,4219017,dca63282b98f,microphone,377,230.03,60,dB,2023-10-03 11:11:02,2023-10-03 11:11:11
28590,4219021,dca63282b9da,microphone,932,268.12,59,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28591,4219022,dca63282b98f,microphone,711,255.57,60,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28592,4219023,dca63282b8d2,microphone,664,294.6,60,dB,2023-10-03 11:12:01,2023-10-03 11:12:10
28595,4219026,dca63282ba98,microphone,597,293.68,60,dB,2023-10-03 11:12:02,2023-10-03 11:12:11
28598,4219029,dca63282b9da,microphone,392,232.28,60,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28599,4219030,dca63282b8d2,microphone,521,254.51,59,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28600,4219031,dca63282b98f,microphone,371,222.17,60,dB,2023-10-03 11:13:01,2023-10-03 11:13:10
28602,4219033,dca63282ba98,microphone,494,243.03,60,dB,2023-10-03 11:13:02,2023-10-03 11:13:11
28607,4219038,dca63282b9da,microphone,695,248.98,60,dB,2023-10-03 11:14:01,2023-10-03 11:14:10
28610,4219041,dca63282b98f,microphone,926,240.59,59,dB,2023-10-03 11:14:01,2023-10-03 11:14:10
28611,4219042,dca63282ba98,microphone,550,277.97,60,dB,2023-10-03 11:14:02,2023-10-03 11:14:10
28613,4219044,dca63282b8d2,microphone,519,263.97,60,dB,2023-10-03 11:14:01,2023-10-03 11:14:12
28617,4219048,dca63282b9da,microphone,527,253.32,60,dB,2023-10-03 11:15:02,2023-10-03 11:15:10
28620,4219051,dca63282ba98,microphone,568,283.27,60,dB,2023-10-03 11:15:02,2023-10-03 11:15:11
28621,4219052,dca63282b8d2,microphone,595,288.03,61,dB,2023-10-03 11:15:02,2023-10-03 11:15:11
28622,4219053,dca63282b98f,microphone,372,232.25,61,dB,2023-10-03 11:15:02,2023-10-03 11:15:12
28625,4219056,dca63282b8d2,microphone,675,311.85,59,dB,2023-10-03 11:16:01,2023-10-03 11:16:10
28628,4219059,dca63282b9da,microphone,487,253.48,61,dB,2023-10-03 11:16:02,2023-10-03 11:16:10
28629,4219060,dca63282ba98,microphone,636,295.42,60,dB,2023-10-03 11:16:02,2023-10-03 11:16:11
28630,4219061,dca63282b98f,microphone,398,242.57,60,dB,2023-10-03 11:16:02,2023-10-03 11:16:11
28635,4219066,dca63282b9da,microphone,620,280.18,60,dB,2023-10-03 11:17:02,2023-10-03 11:17:11
28636,4219067,dca63282b98f,microphone,664,269.2,60,dB,2023-10-03 11:17:02,2023-10-03 11:17:11
28637,4219068,dca63282b8d2,microphone,811,373.79,61,dB,2023-10-03 11:17:02,2023-10-03 11:17:11
28638,4219069,dca63282ba98,microphone,722,353.64,59,dB,2023-10-03 11:17:02,2023-10-03 11:17:11
28643,4219074,dca63282b8d2,microphone,983,370.51,59,dB,2023-10-03 11:18:02,2023-10-03 11:18:11
28644,4219075,dca63282ba98,microphone,686,331.36,61,dB,2023-10-03 11:18:02,2023-10-03 11:18:11
28645,4219076,dca63282b9da,microphone,677,276.53,60,dB,2023-10-03 11:18:02,2023-10-03 11:18:11
28646,4219077,dca63282b98f,microphone,536,275.53,60,dB,2023-10-03 11:18:02,2023-10-03 11:18:11
28651,4219082,dca63282b98f,microphone,387,239.73,60,dB,2023-10-03 11:19:02,2023-10-03 11:19:11
28652,4219083,dca63282b9da,microphone,364,250.62,60,dB,2023-10-03 11:19:02,2023-10-03 11:19:11
28653,4219084,dca63282ba98,microphone,538,296.72,60,dB,2023-10-03 11:19:02,2023-10-03 11:19:11
28654,4219085,dca63282b8d2,microphone,589,308.23,61,dB,2023-10-03 11:19:02,2023-10-03 11:19:11
28657,4219088,dca63282b8d2,microphone,555,254.16,58,dB,2023-10-03 11:20:01,2023-10-03 11:20:10
28658,4219089,dca63282b9da,microphone,605,236.47,59,dB,2023-10-03 11:20:01,2023-10-03 11:20:10
28661,4219092,dca63282b98f,microphone,419,232.98,59,dB,2023-10-03 11:20:02,2023-10-03 11:20:11
28662,4219093,dca63282ba98,microphone,500,263.1,58,dB,2023-10-03 11:20:01,2023-10-03 11:20:11
28666,4219097,dca63282b9da,microphone,442,252.83,60,dB,2023-10-03 11:21:01,2023-10-03 11:21:10
28668,4219099,dca63282b8d2,microphone,955,337.67,60,dB,2023-10-03 11:21:01,2023-10-03 11:21:11
28669,4219100,dca63282ba98,microphone,701,302.52,61,dB,2023-10-03 11:21:02,2023-10-03 11:21:12
28670,4219101,dca63282b98f,microphone,530,261.35,60,dB,2023-10-03 11:21:02,2023-10-03 11:21:12
28674,4219105,dca63282b98f,microphone,917,223.88,60,dB,2023-10-03 11:22:01,2023-10-03 11:22:10
28675,4219106,dca63282b9da,microphone,1296,231.7,60,dB,2023-10-03 11:22:02,2023-10-03 11:22:10
28677,4219108,dca63282b8d2,microphone,626,200.77,61,dB,2023-10-03 11:22:02,2023-10-03 11:22:12
28678,4219109,dca63282ba98,microphone,564,210.5,60,dB,2023-10-03 11:22:02,2023-10-03 11:22:16
28682,4219113,dca63282ba98,microphone,603,293.23,60,dB,2023-10-03 11:23:01,2023-10-03 11:23:10
28683,4219114,dca63282b9da,microphone,555,253.57,60,dB,2023-10-03 11:23:02,2023-10-03 11:23:10
28684,4219115,dca63282b8d2,microphone,791,337.7,60,dB,2023-10-03 11:23:02,2023-10-03 11:23:11
28686,4219117,dca63282b98f,microphone,440,250.18,60,dB,2023-10-03 11:23:02,2023-10-03 11:23:11
28689,4219120,dca63282ba98,microphone,568,232.44,59,dB,2023-10-03 11:24:01,2023-10-03 11:24:10
28691,4219122,dca63282b98f,microphone,370,219.98,60,dB,2023-10-03 11:24:02,2023-10-03 11:24:10
28692,4219123,dca63282b9da,microphone,492,231.03,60,dB,2023-10-03 11:24:02,2023-10-03 11:24:11
28694,4219125,dca63282b8d2,microphone,697,242.44,59,dB,2023-10-03 11:24:01,2023-10-03 11:24:11
28698,4219129,dca63282ba98,microphone,472,231.85,61,dB,2023-10-03 11:25:02,2023-10-03 11:25:10
28699,4219130,dca63282b9da,microphone,348,222.12,60,dB,2023-10-03 11:25:02,2023-10-03 11:25:11
28700,4219131,dca63282b8d2,microphone,467,231.12,60,dB,2023-10-03 11:25:01,2023-10-03 11:25:11
28702,4219133,dca63282b98f,microphone,362,221.8,60,dB,2023-10-03 11:25:02,2023-10-03 11:25:12
28707,4219138,dca63282ba98,microphone,365,187.42,60,dB,2023-10-03 11:26:02,2023-10-03 11:26:11
28708,4219139,dca63282b8d2,microphone,464,164.57,60,dB,2023-10-03 11:26:01,2023-10-03 11:26:11
28709,4219140,dca63282b98f,microphone,336,195.03,60,dB,2023-10-03 11:26:02,2023-10-03 11:26:11
28710,4219141,dca63282b9da,microphone,298,200.27,60,dB,2023-10-03 11:26:02,2023-10-03 11:26:12
28713,4219144,dca63282b9da,microphone,558,239.44,59,dB,2023-10-03 11:27:01,2023-10-03 11:27:10
28718,4219149,dca63282b98f,microphone,362,233.37,59,dB,2023-10-03 11:27:01,2023-10-03 11:27:11
28719,4219150,dca63282b8d2,microphone,539,256.65,60,dB,2023-10-03 11:27:02,2023-10-03 11:27:12
28720,4219151,dca63282ba98,microphone,528,261.05,60,dB,2023-10-03 11:27:02,2023-10-03 11:27:14
28723,4219154,dca63282b9da,microphone,426,221.47,60,dB,2023-10-03 11:28:01,2023-10-03 11:28:10
28725,4219156,dca63282ba98,microphone,637,233.12,59,dB,2023-10-03 11:28:02,2023-10-03 11:28:10
28728,4219159,dca63282b98f,microphone,357,203.72,60,dB,2023-10-03 11:28:01,2023-10-03 11:28:11
28729,4219160,dca63282b8d2,microphone,604,222.6,60,dB,2023-10-03 11:28:02,2023-10-03 11:28:12
28735,4219166,dca63282b98f,microphone,402,220.82,60,dB,2023-10-03 11:29:02,2023-10-03 11:29:10
28736,4219167,dca63282b9da,microphone,394,230.0,60,dB,2023-10-03 11:29:02,2023-10-03 11:29:10
28737,4219168,dca63282b8d2,microphone,560,250.82,60,dB,2023-10-03 11:29:02,2023-10-03 11:29:10
28738,4219169,dca63282ba98,microphone,559,255.26,61,dB,2023-10-03 11:29:02,2023-10-03 11:29:11
28742,4219173,dca63282b98f,microphone,395,221.0,60,dB,2023-10-03 11:30:02,2023-10-03 11:30:10
28743,4219174,dca63282b8d2,microphone,472,235.07,60,dB,2023-10-03 11:30:02,2023-10-03 11:30:10
28744,4219175,dca63282b9da,microphone,391,240.95,60,dB,2023-10-03 11:30:02,2023-10-03 11:30:10
28746,4219177,dca63282ba98,microphone,416,236.67,60,dB,2023-10-03 11:30:02,2023-10-03 11:30:11
28753,4219184,dca63282b9da,microphone,346,229.7,60,dB,2023-10-03 11:31:02,2023-10-03 11:31:11
28754,4219185,dca63282b8d2,microphone,523,245.03,60,dB,2023-10-03 11:31:02,2023-10-03 11:31:11
28755,4219186,dca63282b98f,microphone,336,219.35,60,dB,2023-10-03 11:31:02,2023-10-03 11:31:11
28756,4219187,dca63282ba98,microphone,498,241.39,59,dB,2023-10-03 11:31:02,2023-10-03 11:31:11
28760,4219191,dca63282ba98,microphone,450,239.9,60,dB,2023-10-03 11:32:01,2023-10-03 11:32:10
28763,4219194,dca63282b98f,microphone,302,218.08,60,dB,2023-10-03 11:32:02,2023-10-03 11:32:10
28764,4219195,dca63282b8d2,microphone,449,234.7,60,dB,2023-10-03 11:32:02,2023-10-03 11:32:11
28765,4219196,dca63282b9da,microphone,313,224.3,60,dB,2023-10-03 11:32:02,2023-10-03 11:32:12
28770,4219201,dca63282b98f,microphone,383,208.12,60,dB,2023-10-03 11:33:02,2023-10-03 11:33:10
28771,4219202,dca63282b8d2,microphone,393,200.4,60,dB,2023-10-03 11:33:02,2023-10-03 11:33:11
28772,4219203,dca63282ba98,microphone,362,212.47,60,dB,2023-10-03 11:33:01,2023-10-03 11:33:11
28774,4219205,dca63282b9da,microphone,349,224.13,60,dB,2023-10-03 11:33:02,2023-10-03 11:33:11
28777,4219208,dca63282b98f,microphone,327,235.1,61,dB,2023-10-03 11:34:02,2023-10-03 11:34:10
28780,4219211,dca63282ba98,microphone,498,276.78,60,dB,2023-10-03 11:34:02,2023-10-03 11:34:10
28782,4219213,dca63282b8d2,microphone,486,286.18,60,dB,2023-10-03 11:34:02,2023-10-03 11:34:11
28783,4219214,dca63282b9da,microphone,403,246.27,60,dB,2023-10-03 11:34:01,2023-10-03 11:34:11
28789,4219220,dca63282b8d2,microphone,514,283.53,59,dB,2023-10-03 11:35:02,2023-10-03 11:35:10
28790,4219221,dca63282b9da,microphone,977,255.62,60,dB,2023-10-03 11:35:02,2023-10-03 11:35:11
28791,4219222,dca63282b98f,microphone,780,240.07,59,dB,2023-10-03 11:35:02,2023-10-03 11:35:11
28792,4219223,dca63282ba98,microphone,648,278.92,60,dB,2023-10-03 11:35:02,2023-10-03 11:35:12
28795,4219226,dca63282b98f,microphone,395,237.2,60,dB,2023-10-03 11:36:02,2023-10-03 11:36:10
28797,4219228,dca63282b9da,microphone,456,251.37,59,dB,2023-10-03 11:36:01,2023-10-03 11:36:10
28798,4219229,dca63282ba98,microphone,630,299.62,60,dB,2023-10-03 11:36:02,2023-10-03 11:36:10
28801,4219232,dca63282b8d2,microphone,785,318.37,60,dB,2023-10-03 11:36:02,2023-10-03 11:36:11
28805,4219236,dca63282b9da,microphone,466,231.97,60,dB,2023-10-03 11:37:01,2023-10-03 11:37:10
28806,4219237,dca63282b8d2,microphone,648,249.32,60,dB,2023-10-03 11:37:01,2023-10-03 11:37:10
28807,4219238,dca63282ba98,microphone,560,241.72,60,dB,2023-10-03 11:37:01,2023-10-03 11:37:10
28810,4219241,dca63282b98f,microphone,435,210.67,61,dB,2023-10-03 11:37:03,2023-10-03 11:37:11
28813,4219244,dca63282b8d2,microphone,352,185.67,60,dB,2023-10-03 11:38:01,2023-10-03 11:38:10
28814,4219245,dca63282b9da,microphone,317,211.85,60,dB,2023-10-03 11:38:01,2023-10-03 11:38:10
28818,4219249,dca63282b98f,microphone,274,194.98,59,dB,2023-10-03 11:38:02,2023-10-03 11:38:11
28819,4219250,dca63282ba98,microphone,354,206.17,60,dB,2023-10-03 11:38:01,2023-10-03 11:38:12
28824,4219255,dca63282b8d2,microphone,512,227.37,60,dB,2023-10-03 11:39:01,2023-10-03 11:39:10
28825,4219256,dca63282b98f,microphone,355,212.77,60,dB,2023-10-03 11:39:01,2023-10-03 11:39:10
28826,4219257,dca63282b9da,microphone,639,229.57,60,dB,2023-10-03 11:39:02,2023-10-03 11:39:10
28827,4219258,dca63282ba98,microphone,473,232.65,60,dB,2023-10-03 11:39:02,2023-10-03 11:39:10
28833,4219264,dca63282b8d2,microphone,244,125.42,60,dB,2023-10-03 11:40:01,2023-10-03 11:40:10
28834,4219265,dca63282b98f,microphone,385,183.83,60,dB,2023-10-03 11:40:02,2023-10-03 11:40:10
28835,4219266,dca63282b9da,microphone,342,191.25,60,dB,2023-10-03 11:40:02,2023-10-03 11:40:11
28837,4219268,dca63282ba98,microphone,315,153.05,60,dB,2023-10-03 11:40:02,2023-10-03 11:40:11
28840,4219271,dca63282b9da,microphone,348,193.92,60,dB,2023-10-03 11:41:02,2023-10-03 11:41:11
28842,4219273,dca63282b98f,microphone,386,184.4,60,dB,2023-10-03 11:41:02,2023-10-03 11:41:11
28844,4219275,dca63282b8d2,microphone,490,137.75,60,dB,2023-10-03 11:41:01,2023-10-03 11:41:11
28846,4219277,dca63282ba98,microphone,472,167.97,60,dB,2023-10-03 11:41:02,2023-10-03 11:41:12
28850,4219281,dca63282b8d2,microphone,423,112.93,60,dB,2023-10-03 11:42:01,2023-10-03 11:42:10
28851,4219282,dca63282b98f,microphone,325,180.56,59,dB,2023-10-03 11:42:01,2023-10-03 11:42:10
28853,4219284,dca63282b9da,microphone,472,188.18,60,dB,2023-10-03 11:42:02,2023-10-03 11:42:11
28855,4219286,dca63282ba98,microphone,240,145.18,60,dB,2023-10-03 11:42:02,2023-10-03 11:42:11
28858,4219289,dca63282b9da,microphone,277,186.44,59,dB,2023-10-03 11:43:01,2023-10-03 11:43:10
28860,4219291,dca63282b98f,microphone,455,180.45,60,dB,2023-10-03 11:43:01,2023-10-03 11:43:10
28861,4219292,dca63282ba98,microphone,291,147.83,59,dB,2023-10-03 11:43:01,2023-10-03 11:43:10
28864,4219295,dca63282b8d2,microphone,228,118.63,60,dB,2023-10-03 11:43:01,2023-10-03 11:43:11
28867,4219298,dca63282b8d2,microphone,366,176.14,59,dB,2023-10-03 11:44:01,2023-10-03 11:44:10
28868,4219299,dca63282b9da,microphone,308,208.59,61,dB,2023-10-03 11:44:01,2023-10-03 11:44:10
28870,4219301,dca63282b98f,microphone,279,194.88,60,dB,2023-10-03 11:44:02,2023-10-03 11:44:10
28873,4219304,dca63282ba98,microphone,309,187.03,61,dB,2023-10-03 11:44:02,2023-10-03 11:44:11
28877,4219308,dca63282b8d2,microphone,371,209.45,60,dB,2023-10-03 11:45:01,2023-10-03 11:45:10
28878,4219309,dca63282b98f,microphone,327,223.21,61,dB,2023-10-03 11:45:02,2023-10-03 11:45:10
28881,4219312,dca63282b9da,microphone,357,232.88,60,dB,2023-10-03 11:45:02,2023-10-03 11:45:10
28882,4219313,dca63282ba98,microphone,390,221.41,59,dB,2023-10-03 11:45:02,2023-10-03 11:45:11
28886,4219317,dca63282b8d2,microphone,848,257.02,60,dB,2023-10-03 11:46:01,2023-10-03 11:46:10
28888,4219319,dca63282b98f,microphone,1178,482.98,59,dB,2023-10-03 11:46:01,2023-10-03 11:46:10
28890,4219321,dca63282b9da,microphone,1398,435.73,60,dB,2023-10-03 11:46:02,2023-10-03 11:46:11
28891,4219322,dca63282ba98,microphone,753,274.28,60,dB,2023-10-03 11:46:01,2023-10-03 11:46:11
28894,4219325,dca63282b8d2,microphone,727,198.27,60,dB,2023-10-03 11:47:01,2023-10-03 11:47:10
28897,4219328,dca63282b9da,microphone,647,307.56,59,dB,2023-10-03 11:47:01,2023-10-03 11:47:10
28898,4219329,dca63282b98f,microphone,1138,379.4,60,dB,2023-10-03 11:47:01,2023-10-03 11:47:10
28900,4219331,dca63282ba98,microphone,544,217.47,60,dB,2023-10-03 11:47:01,2023-10-03 11:47:10
28906,4219337,dca63282b9da,microphone,1442,410.47,60,dB,2023-10-03 11:48:02,2023-10-03 11:48:10
28907,4219338,dca63282ba98,microphone,705,267.9,60,dB,2023-10-03 11:48:02,2023-10-03 11:48:10
28908,4219339,dca63282b98f,microphone,1457,476.77,60,dB,2023-10-03 11:48:01,2023-10-03 11:48:11
28909,4219340,dca63282b8d2,microphone,890,257.66,61,dB,2023-10-03 11:48:02,2023-10-03 11:48:12
28915,4219346,dca63282b98f,microphone,1637,425.67,60,dB,2023-10-03 11:49:01,2023-10-03 11:49:10
28916,4219347,dca63282b9da,microphone,943,351.1,60,dB,2023-10-03 11:49:02,2023-10-03 11:49:10
28917,4219348,dca63282ba98,microphone,641,234.77,61,dB,2023-10-03 11:49:02,2023-10-03 11:49:11
28918,4219349,dca63282b8d2,microphone,730,211.13,60,dB,2023-10-03 11:49:02,2023-10-03 11:49:12
28923,4219354,dca63282b9da,microphone,534,315.92,60,dB,2023-10-03 11:50:02,2023-10-03 11:50:11
28925,4219356,dca63282b98f,microphone,1089,382.42,60,dB,2023-10-03 11:50:02,2023-10-03 11:50:11
28926,4219357,dca63282b8d2,microphone,728,199.73,60,dB,2023-10-03 11:50:02,2023-10-03 11:50:11
28927,4219358,dca63282ba98,microphone,527,228.85,59,dB,2023-10-03 11:50:02,2023-10-03 11:50:12
28932,4219363,dca63282b98f,microphone,699,327.32,60,dB,2023-10-03 11:51:02,2023-10-03 11:51:11
28933,4219364,dca63282b9da,microphone,938,297.12,60,dB,2023-10-03 11:51:02,2023-10-03 11:51:11
28935,4219366,dca63282ba98,microphone,616,245.15,61,dB,2023-10-03 11:51:02,2023-10-03 11:51:11
28936,4219367,dca63282b8d2,microphone,606,243.19,59,dB,2023-10-03 11:51:01,2023-10-03 11:51:11
28940,4219371,dca63282b8d2,microphone,414,174.62,60,dB,2023-10-03 11:52:01,2023-10-03 11:52:10
28941,4219372,dca63282ba98,microphone,369,182.1,58,dB,2023-10-03 11:52:01,2023-10-03 11:52:10
28943,4219374,dca63282b98f,microphone,481,207.98,60,dB,2023-10-03 11:52:02,2023-10-03 11:52:11
28945,4219376,dca63282b9da,microphone,497,213.23,60,dB,2023-10-03 11:52:02,2023-10-03 11:52:11
28948,4219379,dca63282b8d2,microphone,377,116.08,59,dB,2023-10-03 11:53:01,2023-10-03 11:53:10
28949,4219380,dca63282ba98,microphone,301,149.26,61,dB,2023-10-03 11:53:01,2023-10-03 11:53:10
28953,4219384,dca63282b9da,microphone,322,186.5,60,dB,2023-10-03 11:53:02,2023-10-03 11:53:11
28954,4219385,dca63282b98f,microphone,292,178.1,60,dB,2023-10-03 11:53:02,2023-10-03 11:53:11
28957,4219388,dca63282ba98,microphone,263,142.83,59,dB,2023-10-03 11:54:01,2023-10-03 11:54:10
28959,4219390,dca63282b98f,microphone,296,174.98,60,dB,2023-10-03 11:54:02,2023-10-03 11:54:11
28961,4219392,dca63282b8d2,microphone,263,101.1,61,dB,2023-10-03 11:54:02,2023-10-03 11:54:11
28962,4219393,dca63282b9da,microphone,297,185.4,60,dB,2023-10-03 11:54:02,2023-10-03 11:54:11
28969,4219400,dca63282b9da,microphone,611,208.82,60,dB,2023-10-03 11:55:02,2023-10-03 11:55:11
28970,4219401,dca63282ba98,microphone,398,178.93,61,dB,2023-10-03 11:55:01,2023-10-03 11:55:11
28971,4219402,dca63282b98f,microphone,579,208.2,60,dB,2023-10-03 11:55:02,2023-10-03 11:55:11
28972,4219403,dca63282b8d2,microphone,416,154.37,60,dB,2023-10-03 11:55:02,2023-10-03 11:55:12
28975,4219406,dca63282b9da,microphone,882,214.98,59,dB,2023-10-03 11:56:01,2023-10-03 11:56:10
28978,4219409,dca63282b8d2,microphone,305,176.28,60,dB,2023-10-03 11:56:02,2023-10-03 11:56:11
28979,4219410,dca63282b98f,microphone,660,200.45,60,dB,2023-10-03 11:56:02,2023-10-03 11:56:11
28981,4219412,dca63282ba98,microphone,503,192.97,59,dB,2023-10-03 11:56:01,2023-10-03 11:56:13
28984,4219415,dca63282ba98,microphone,538,225.98,60,dB,2023-10-03 11:57:01,2023-10-03 11:57:10
28986,4219417,dca63282b9da,microphone,581,228.7,60,dB,2023-10-03 11:57:01,2023-10-03 11:57:10
28989,4219420,dca63282b8d2,microphone,518,228.55,60,dB,2023-10-03 11:57:02,2023-10-03 11:57:12
28990,4219421,dca63282b98f,microphone,404,223.22,60,dB,2023-10-03 11:57:02,2023-10-03 11:57:12
28994,4219425,dca63282b9da,microphone,411,225.52,60,dB,2023-10-03 11:58:02,2023-10-03 11:58:10
28996,4219427,dca63282ba98,microphone,628,250.47,60,dB,2023-10-03 11:58:01,2023-10-03 11:58:11
28998,4219429,dca63282b8d2,microphone,620,240.43,60,dB,2023-10-03 11:58:02,2023-10-03 11:58:12
29002,4219433,dca63282b98f,microphone,317,206.1,60,dB,2023-10-03 11:59:01,2023-10-03 11:59:10
29003,4219434,dca63282b9da,microphone,499,223.1,60,dB,2023-10-03 11:59:02,2023-10-03 11:59:11
29006,4219437,dca63282b8d2,microphone,420,212.38,60,dB,2023-10-03 11:59:02,2023-10-03 11:59:11
29007,4219438,dca63282ba98,microphone,390,216.67,61,dB,2023-10-03 11:59:02,2023-10-03 11:59:12
